Date,Topic,Drive Link,,Description
07/09/2025,Graph DFS Usage,https://drive.google.com/file/d/1ySjyDU_b9GNYS_ew_Foi2fQbrLzza8e0/view?usp=sharing,https://drive.google.com/file/d/1hueOUk1Id05l12Mkjum_-RjyiJeub1vw/view?usp=sharing,"DFS Algorithm, reachability problem, component numbering, applications of DFS, Bi-partite problem, 
homework question"
07/09/2025,Graph BFS Usage,https://drive.google.com/file/d/1gsCllWsY-LYkpZ3JYu64ObWaGHgdo0e1/view?usp=sharing,https://drive.google.com/file/d/1kzlPkxNX4VsklvyYoto-ysoW0LsXet_P/view?usp=drive_link,"DFS v BFS, BFS algorithm, layered exploration of BFS, Labriynth problem cses, Path printing, 
printing direction, homework questions"
10/09/2025,Doubt Session,https://drive.google.com/file/d/1wpXRqSup0pLFh0iDIGpTbTqQz2KdUxLL/view?usp=sharing,https://drive.google.com/file/d/1ECaQbM_F6azGoV4fMIqp3W0cndhGOSGK/view?usp=drive_link,Contest problem discussion(Q8 and Q9)
13/09/2025,Graph Shortest Algorithms,https://drive.google.com/file/d/1n_q05PhJcFdjqIfrKvcTbnoCkCID8LZK/view?usp=drive_link,https://drive.google.com/file/d/1OczB88K9xtLWnuLdzxwvHU1AbbZ5NlR8/view?usp=drive_link,"Classification of diff shortest path algo, Storing in graphs, 0-1 BPS Algo question, Dijkstra algorithm
, Bellman Ford, Floyd Marshall"
13/09/2025,Graph Formulation 1,https://drive.google.com/file/d/1FOzRd2am6MgKtxaZSSiOcGs2FVO7rPCy/view?usp=drive_link,https://drive.google.com/file/d/17ebarqARkSzbWEPBLYk6YNSuKgKq54AR/view?usp=drive_link,"Problems on Navigate from s to e in a grid, Budget travelling"
14/09/2025,Doubt Session,https://drive.google.com/file/d/1eum_ZOOaXxgm9-tCCrToMk_BmJxMw0pZ/view?usp=drive_link,https://drive.google.com/file/d/10sDTGV6avvnc0I42aoWmL6MkmvySYXHZ/view?usp=drive_link,"Prime Number, a.b%m, yet another broken keyboard idea, k-th beautiful string, leha and function idea"
17/09/2025,Doubt Session,https://drive.google.com/file/d/1DiVQxGX2v-Y49JQXTZ3YBrbRAB3pUClU/view?usp=drive_link,https://drive.google.com/file/d/1YUoo8IiDUeShKtuizh8X4fropv-njywI/view?usp=drive_link,"Search in sorted rotated array, Strange number"
20/09/2025,Graph Formulation 2,https://drive.google.com/file/d/1SHldjHHuf9LdWHLoDORBLZGm-V_Re8-G/view?usp=drive_link,https://drive.google.com/file/d/1DkWrch2w-2sGeVFYklO-88In_nLtFvgw/view?usp=drive_link,"Supernode question, jump game idea"
20/09/2025,Graph Drill Session,https://drive.google.com/file/d/1UyG3FZ3zEqTJ3X8RMCE9CnJxKw2VoMBJ/view?usp=drive_link,https://drive.google.com/file/d/1RsxL4-tm0iHbbo5_6UiLUOs51KVKb3DF/view?usp=drive_link,"Satisfiability of equality equation, fox and two dots idea, maze idea"
22/09/2025,Graph Drill Session 2,https://drive.google.com/file/d/1qiV38HjJv4-UQvCUdO1VGg8mGR_xfbjz/view?usp=drive_link,https://drive.google.com/file/d/1Mnhj_miNUKOoGf5AtqkKh5DP_HgxSl7k/view?usp=drive_link,"High score, Flight discount, Max weighted k edge path idea"
